"LMS-1328","LMS-1328-16","Active","Live Classroom Instruction","2013-09-09T00:00:00.0",,"Umoja",,,,,,,"Source to Acquire","2017-02-03T13:24:07.663"
"LMS-1376","LMS-1376-2","Active","Live Classroom Instruction","2013-09-06T00:00:00.0",,"Umoja","2013-09-06T09:00:00.0",,,1,1,"8:00","Real Estate","2017-02-03T13:24:07.663"
"LMS-1321","LMS-1321-7","Active","Live Classroom Instruction","2013-09-07T00:00:00.0","2013-09-14T00:00:00.0","Umoja","2013-09-07T09:00:00.0",,,1,1,"8:00","Real Estate","2017-02-03T13:24:07.663"
"LMS-1325","LMS-1325-27","Pending","Live Classroom Instruction","2013-09-18T00:00:00.0","2013-09-19T00:00:00.0","UNSOA","2013-09-18T08:30:00.0",,,1,1,"10:00","Source to Acquire","2017-02-03T13:24:07.663"
"LMS-1303","LMS-1303-31","Active","Live Classroom Instruction","2013-09-19T00:00:00.0","2013-09-29T00:00:00.0","UNAMID","2013-09-19T09:00:00.0",,,1,1,"8:00","Funds and Cost Management","2017-02-03T13:24:07.663"
"LMS-1320","LMS-1320-46","Active","Live Classroom Instruction","2013-09-18T00:00:00.0","2013-09-19T00:00:00.0","Umoja",,,,,,,"Source to Acquire","2017-02-03T13:24:07.663"
"LMS-1323","LMS-1323-27","Concluded","Live Classroom Instruction","2013-09-25T00:00:00.0","2013-10-02T00:00:00.0","Umoja","2013-09-25T08:30:00.0",,,1,1,"8:00","Financial Accounting","2017-02-03T13:24:07.663"
"LMS-1330","LMS-1330-26","Active","Live Classroom Instruction","2013-09-27T00:00:00.0","2013-09-28T00:00:00.0","Umoja","2013-09-27T08:30:00.0",,,1,2,"20:00","Financial Accounting","2017-02-03T13:24:07.663"
"LMS-1568","LMS-1568-22","Active","Live Classroom Instruction","2013-09-23T00:00:00.0","2013-09-24T00:00:00.0","Umoja","2013-09-23T08:30:00.0",,,1,2,"20:00","Real Estate","2017-02-03T13:24:07.663"
"LMS-1569","LMS-1569-20","Active","Live Classroom Instruction","2013-09-25T00:00:00.0","2013-09-26T00:00:00.0","Umoja","2013-09-25T08:30:00.0",,,1,2,"20:00","Real Estate","2017-02-03T13:24:07.663"
"LMS-1320","LMS-1320-53","Active","Live Classroom Instruction","2013-09-30T00:00:00.0","2013-10-10T00:00:00.0","Umoja","2013-09-30T04:00:00.0",,,1,1,"16:30","Source to Acquire","2017-02-03T13:24:07.663"
"LMS-1570","LMS-1570-1","Active","Self-Paced Learning Activities","2013-09-19T00:00:00.0","2013-10-19T00:00:00.0","Umoja",,,,,,,"Logistics Execution","2017-02-03T13:24:07.663"
"LMS-1323","LMS-1323-29","Concluded","Live Classroom Instruction","2013-09-26T00:00:00.0","2013-09-27T00:00:00.0","Umoja",,,,,,,"Financial Accounting","2017-02-03T13:24:07.663"
"LMS-1340","LMS-1340-1","Concluded","Self-Paced Learning Activities","2013-09-25T00:00:00.0","2013-10-25T00:00:00.0","Umoja",,,,,,,"Grants and Project Management","2017-02-03T13:24:07.663"
